target_token,recall,precision,f1,rel_freq
much,1.0,0.5,0.6666666666666666,0.935483870967742
dza,1.0,1.0,1.0,1.0
扎曲,1.0,1.0,1.0,
zā,0.0,-1.0,-1.0,
za,-1.0,0.0,-1.0,1.0
qū,0.9166666666666666,1.0,0.9565217391304348,0.5972222222222222
qu,-1.0,0.0,-1.0,0.4027777777777778
瀾滄江,1.0,1.0,1.0,
láncāng,0.0,-1.0,-1.0,
lancang,-1.0,0.0,-1.0,
jiāng,1.0,1.0,1.0,0.3928571428571428
giles,1.0,1.0,1.0,1.0
ts,1.0,1.0,1.0,1.0
chiang,1.0,1.0,1.0,0.9977324263038548
昌都,1.0,1.0,1.0,
chāngdū,0.0,-1.0,-1.0,
changdu,-1.0,0.0,-1.0,
ruak,1.0,1.0,1.0,1.0
mènam,0.0,-1.0,-1.0,
menam,-1.0,0.0,-1.0,1.0
rốn,0.0,-1.0,-1.0,0.0617906683480454
banchum,1.0,1.0,1.0,
luang,1.0,1.0,1.0,1.0
prabang,1.0,1.0,1.0,1.0
viêng,0.0,-1.0,-1.0,0.166023166023166
khone,1.0,1.0,1.0,0.625
mékôngk,0.0,-1.0,-1.0,
mekongk,-1.0,0.0,-1.0,
sambor,1.0,1.0,1.0,1.0
kratie,0.0,-1.0,-1.0,0.1538461538461538
kratié,-1.0,0.0,-1.0,0.8461538461538461
phnôm,0.0,-1.0,-1.0,0.1963470319634703
pênh,0.0,-1.0,-1.0,0.2760416666666667
chenla,1.0,1.0,1.0,1.0
faria,1.0,1.0,1.0,1.0
gerrit,1.0,1.0,1.0,1.0
wuysthoff,1.0,1.0,1.0,
doudard,1.0,1.0,1.0,1.0
lagrée,1.0,1.0,1.0,0.8333333333333334
hart,1.0,1.0,1.0,1.0
schaaf,1.0,1.0,1.0,
pak,1.0,1.0,1.0,0.9660194174757282
漫湾,1.0,1.0,1.0,
大朝山,1.0,1.0,1.0,
景洪,1.0,1.0,1.0,1.0
小湾,1.0,1.0,1.0,
xiaowan,1.0,1.0,1.0,
wide,1.0,1.0,1.0,1.0
fund,1.0,1.0,1.0,1.0
wildlife,1.0,1.0,1.0,1.0
wwf,1.0,1.0,1.0,1.0
trê,0.0,-1.0,-1.0,0.0043275253387996
zed,1.0,1.0,1.0,
hogan,1.0,1.0,1.0,1.0
nhám,0.0,-1.0,-1.0,0.0072812538565963
robin,1.0,1.0,1.0,1.0
abell,1.0,1.0,1.0,1.0
kilomet,0.0,-1.0,-1.0,0.0123152709359605
chận,0.0,-1.0,-1.0,0.004959120761292
newspapers,1.0,1.0,1.0,1.0
calends,1.0,1.0,1.0,
nones,1.0,1.0,1.0,1.0
ides,1.0,1.0,1.0,1.0
ante,1.0,1.0,1.0,1.0
diem,0.0,-1.0,-1.0,0.0001351625329458
sextum,1.0,1.0,1.0,
calendas,1.0,1.0,1.0,
martii,1.0,1.0,1.0,1.0
matthias,1.0,1.0,1.0,1.0
dôi,0.0,-1.0,-1.0,0.000113068684086
mão,0.5,1.0,0.6666666666666666,0.1168693812797461
hêbrơ,1.0,1.0,1.0,1.0
adar,1.0,1.0,1.0,
rishon,1.0,1.0,1.0,
sheni,1.0,1.0,1.0,
mêtôn,0.0,-1.0,-1.0,
meton,1.0,0.6666666666666666,0.8,1.0
xaba,1.0,1.0,1.0,
bridget,1.0,1.0,1.0,1.0
pêtamét,0.0,-1.0,-1.0,
petamet,-1.0,0.0,-1.0,
pm,1.0,1.0,1.0,1.0
parsec,1.0,1.0,1.0,1.0
yôtamét,0.0,-1.0,-1.0,
yotamet,-1.0,0.0,-1.0,
ym,1.0,1.0,1.0,1.0
doraemon,1.0,1.0,1.0,0.8571428571428571
fujiko,1.0,1.0,1.0,1.0
